@relation sentiment-of-kitapyurdu-comments
@attribute comment string
@attribute sentiment {positive,negative}

@data
"kaydolurken verdiginiz elektronik posta adresinizi spamcilara satan firmadir. soyleki bu siteye kaydolurken girdigim ve baska hicbir yerde kullanmadigim kitapyurdu@domainim.com adresine sacma sapan yerlerden e-postalar gelmeye basladi. birde utanmadan mail adresinize e-posta istemiyorsaniz  lutfen    unsubscribe tiklayiniz. yaziyorlar. ben hic istemedim ki onlari.", negative
"6 kitabin teslim suresi icin 5 gun baska bir kitap icin 9 gun teslim suresi vermesi nedeniyle ayri ayri siparis ettigim ancak 9 is gunu sure verdigi kitabi siparisten sonraki gun teslim eden site. daha acil elime gecmesi gerekenlerden haber yok. uzulsem mi sevinsem mi bilemedim.", negative
"baska bir site bu fiyatlardan satis yapsa kitapyurdunun yuzune bakilmayabilir; cunku kitaplari temin etme sureleri gec tum kitaplar temin edilse bile kargolamayi ayni gun yaptiklarini gormedim cumartesi ve pazarlari calismiyorlar -ki temin islemi cuma tamamlaninca kargolama islemi pazartesiye sarkiyor. yani en buyuk sorunu kitaplari size ulastirmasi. yavaslar.", negative
"antik cag dizisinden satin aldigim kitabin bir sayfasi kopartilmis bir kac sayfasi da katlanmis olarak elime ulasti. sikayet mesajimin ardindan yeni bir kitap gonderilecegini soylediler. uc gun sonra yenisini gonderdiler. demem odur ki sozunu tutan site.", negative
"bu siteden alisveris yapmak genis ve ferah bir migrosta alisveris yapmak dururken daracik koridorlarin ve karmakarisik raflarin bulundugu bime yanlislikla dalivermek gibidir hele bir de cebinizde bir suru para varken. insanin guvenip kredi karti numarasini veresi bile gelmiyor o derece dandik bir tasarima sahip bu site. sirf groupondan sitede avantaj saglayan bir kod satin aldigim icin ugradim buraya ama sitenin gorunusu o kadar karmasik ve berbat ki o kodu nereye yazacagimi anlayabilmek icin uzun dakikalar harcadim. yazik gercekten icinde binlerce urun cesidi olan bir bakkal dukkani gibi.", negative
"ilginc bir sekilde aradigim kitaplari bulamadigim site. bulduklarim kirtasiyelerde de var evet.", negative
"kitaplari normalden daha ucuza satan fakat hediye puan sistemi bir halta yaramayan sirket. toplanan puanlarla da her kitap alinamiyor  sadece promosyonlu kitaplardan tercih yapilabiliyor.", negative
"internetten kitap alisverisimi hep idefix.comdan yaptigim halde dogum gunumde bana gonderdigi maille beni kandirmis site. gelen mailde dogumgunum nedeni ile kargo masraflarini karsilayacaklari yaziyordu. bende zaten kitap alacagim bari burdan alayim 3-5 lira az oderim dedim. demez olaydim.yaklasik temin suresi olarak 7 gun belirtmelerine ragmen bugun 8. gun ve kitaplar henuz kargoya dahi verilmedi. kargoyu gec bir kitabin hala temin edilemedigi gibi bir ifade yaziyor birde siparis sayfasinda. bu entryi yazmadan once bir de mail attim bu durumla ilgili. su an icin beklemedeyim bakalim ne diyecekler.bu durumu duzeltmek icin kutunun icine ekstra bir seyler koysalar mesela yarim elma gonul alma iste. ben olsam oyle yapardim. musteri memnuniyeti onemli.eger beni tatmin etmezseler herhangi bir sekilde bir daha idefixden sasmam.", negative
"an itibariyle login olamadigim site.anasayfa duzgun acilmasina ragmen ve farkli tarayicilarla israr etsemde kitapyurdu.com ulasilmaz konumda.bende mi bir sikinti var bilemedim.onemli.", negative
"bu site kullanisli disinda her kelimeyle tanimlanabilir.idefix ile yarisan cok guzel fiyatlari ve igrenc dizaynindan baska bahsedecek pek bir sey bulamiyorum site hakkinda. resmen cile buradan alisveris yapmak. mahallede ev yapan ustalarin ciktigi katlar gibi bu site hersey sonradan eklenmis gibi uydur kaydir.bir de bu amcamlar sitedeki mukemmeliyetcililklerini(.) sevkiyatta da gosteriyorlar. kitaplarinizi 2 mukavva arasina sarip gonderiyorlar ki gonderilen kitap mi lahmacun mu anlayamadim. hacioglunun paketlerini aratti resmen onlar bile daha iyi. kitaplar da zaten pek iyi saklanmiyor sanirim stoklarinda. kac tane kitap aldiysam kenarlari koseleri ezilmis uzerlerinde bolca cizik olan zaman zaman da kapak jelatini kalkmaya baslamis kitaplar aldim. eger kitapta kozmetik cok onemliyse kendi sabriniz icin bunlardan alisveris etmeyin. son gelen kitaplardan sonra supheleniyorum bu adamlar kitaplarla futbol mu oynadilar pis zeminlerde mi sakladilar diye.", negative
"acildigindan beri sikayet edilen kotu tasarimindan hala kurtulamamis olan site. yazi tipleri ufacik karinca duasi gibi. cagin ruhunu yakalayamamis dede gibi duruyor.ama bunlari goz ardi edersek ilk alisverisimden oldukca memnun kaldigim sitedir. persembe aksami mesai saatlerinden sonra siparisini verdigim 5 kitabi cumartesi gunu kargoya verdiklerini belirten maili attilar ve kitaplar eksiksiz ve hasarsiz olarak oldukca guzel paketlenmis bir sekilde ince kumastan kitapyurdu torbasi ve bes adet kitap ayraci ile beraber bugun (pazartesi gunu) elime ulasti. adini ilk defa duydugum surat kargo degil de ups olsun diye sadece 30 kurus fazla verdim ama sanirim surat kargo ile de sorun yasanmiyor.", negative
"dun sabah 12de verdigim siparisi aksam 5te kargoya verip  bu sabah 10da elime ulasmasini saglayarak gonlumu fethetmis site. kitabi  idefixteki fiyatinin yarisina aldim  kucucuk de bir kargo ucreti odedim.", positive
"siparisimi 1 gun icinde teslim eden site. bi de kitap okurken iciyim diye bi tane poset cay koymuslar pakete.cok sirinler ikkikikikikiki.", positive
"dogum gunum munasebetiyle  sirada beklettigim kitaplari bana kargo ucreti odetmeden aldirmis site.eger %100 odedigi -hediye- kargoyu tercih etmek istemiyorsaniz  diger secenekler de 1 tlnin altinda fiyatlandirilmis.", positive
"kelepir bolumunden yeraltindan notlar  beyaz geceler ve insan ne ile yasar kitaplarini toplam 6 liraya satin aldigim supersonik site. dogum gunum olmasi hasebiyle kargo parasi da almadilar. telefon edip tesekkur edesim geldiyse de usendim.", positive
"en cok sikayetci oldugum kargo sorununa cozum bulmuslar sanirim.zira son iki seferdir kargolar gelmesi gerektigi gibi geliyor. sondan onceki 3 gunde gelmisti.son seferinde ise teslim suresi ortalama 6 gun gorunuyordu  ustelik daha once rakibi sayilabilecek firma icin getirdigim elestirilerden birisi olan ve oradayok gorunen kitaplari da iceriyordusiparis.bunaragmen siparisim(surat kargoya ragmen) 1 5 gunde evime geldi.kisaca gecici bir durum degilse olmasi gerektigi gibi olan firmalar lansmanina tam manasiyla girmisler demektir.fiyat  cesitlilik  hiz ve guvenilirlik. hepsi burada su an icin var. boyle devam ederler umarim.", positive
"cumartesi gunu ogleden once vermis oldugum 6 kitap siparisimi hemen ogleden sonra kargoya vererek  hiziyla basimi dondurmus olan sarilip sarmalanilasi  site. biliyorum  her zamanki gibi  kitaplarla birlikte yollayacaklari bir de kucuk surprizleri olacak.", positive
"su siralar stoklarla sinirli olsa da zulfu livanelinin son romani son adayi imzali olarak okuyucularina ulastiran site.", positive
"dedikleri sure icinde ve sapasaglam paketlenmis halde kitaplari yollayan site.kargo odeyen kitaplarindan da 3-5 liraya bir sey attiniz mi koliye  alin elinize cayi ve kitabinizi bekleyin.", positive
"kitaplar hakkinda yapilan yorumlari cok guldurebilen bir sitedir.", positive
"son bir kac yildir internet uzerinden aldigim kitaplarin tamamini buradan aliyorum. eskiden fiyat karsilastirmasi yapardim diger sitelerle  artik onu bile yapmiyorum. sanirim kendilerine alistim.", positive
"kusurlu gonderdikleri urunun geri aliminda kurye sirketini bahane ederek sorun cikarantelefonda gorusulen kisinin musteriye bagirma hakkina sahip oldugunu dusundugu e-kitap sitesi.kitap okuyup mutlu olacagim diye kitapyurdu ile muhattap olup sinirli okur olunur.", negative
"mail yoluyla sordugunuz sorulariniza veya iletisim bolumunde dile getirdiginiz sorunlariniza kesinlikle ama kesinlikle cevap vermeyen sitedir.", negative
"gunlerce vakit ayirip tek tek inceleyip secerek sepetime aldigim kitaplari bir anda sepetimden ucuran site.", negative
"on yilin cok satanlari listesine baktigimda beni derin dusuncelere bogan site.", negative
"bakin soyluyorum bu siteden alisveris yapmayin. 10 gun oldu kitaplarimi hala yollamadi. aldigim butun urunler icin stokta yazmasina ragmen. musteri hizmetlerini ariyorum defalarca yuzume kapatiyorlar. bi tane kitabiniz elimizde yok diye mail atmislar. olanlari yollayin diye cevap attim. adamlar zerre takmayip kitabin gelmesi beklenecektir diyor. 200 liraya yakin alisveris yaptim paramla agzima tukurduler helal olsun.--- spoiler ---bu siteden alisveris yapmayin.", negative
"son siparisimde yaklasik teslim suresi:4 is gunu demesine ragmen 4. is gununde hala hazirlanmamis bir siparise sahip oldugum kitap sitesi. yarim gunde istanbuldan kahramanmarasa nasil getirecekler meraklar icerisindeyim.", negative
"uzun zamandir kullandigim memnun da oldugum bir siteydi fakat siparis verdigim tolstoy - itiraflarim kitabi yerine nasil dogru namaz kilinir kitabini yollayarak beni dine dondurmeye calistiklarini dusunmeye basladim daha once de hediye olarak namaz kitabi yollamislardi. dalga mi geciyorlar onu da anlamis degilim henuz.sikayette bulunmak icin cagri merkezini ariyorum fakat ne ilgilenen var ne de acan attigim maile de henuz cevap alamadim.", negative
"an itibari ile sitesine ulasilamamaktadir.", negative
"musteri hizmetleri son derece alakasiz olan nasil olsa satisimiz bol mantigiyla yoluna devam eden site. son alisverisimdi kendileriyle benim icin kitapyurdu bitmistir bir daha gelmem.", negative
"web sitesinin tasarimi cok kotu oldugu icin insana bir guvensizlik verse de; diger online satis siteleri kadar hizlidir ve onlardan cok daha ucuzdur. hatta bazi secilmis kitaplari satin alirsaniz kargoyu da bedavaya getirebilirsiniz.", negative
"turkiye de rakibi olmayan  koklu bi internet sitesi.yaklasik dort yildir kullaniyorum bu siteyi ve su gune kadar hicbi sorun yasamadim. hep mutlu oldum yaptigim alisverislerden. zamanla cozuyorsunuz tabii sitenin size ne gibi hizmetler verebilecegini  ne gibi hizmetler veremeyecegini. mesela bazi zamanlar  on-onbes tane kitap almaniz gerekebiliyor.bu tip durumlarda  verdiginizsiparisin durumunu sik sik kontrol edin. maksimum bes is gunu icerisinde kargoya verilmeli siparisiniz. eger ki bir kac kitap icin bu sure uzadiysa ve siparisleriniz hazirlaniyor. vs. gibi bisey yaziyorsa siparis takip bolumunde  o siparisleri iptal edin efenim. korkmayin paraniza bi zarar gelmez. kartiniza geri aktariyorlar iptal ettirdiginiz siparislerin ucretini. ya da  baska kitaplar da alabiliyorsunuz kartinizdan cekilen ucretle. ayrica  kargo ucretini odeyen bazi yayinevleriyle de anlasmalidir bu site. tabii  ne kadar isinize yarar  ne kadar size hitap eder bilemeyecegim ama eger ki kutuphanemde su kitaplar da bulunsun  hem kargo ucreti de odememis olurum. diyorsaniz  bu yayinevleri de tam size gore.kaliteli ve musteriyi memnun etmeyi bilen bi sitedir. korkmadan  kitaplariniza kitap katabilirsiniz efem.", positive
"pazartesi verdigim 4 kitap siparisini cuma gunu  elime ulastirdilar. fiyatlari da uygun  herhangi bir sorununuzda gayet de yardimci oluyorlar. daha ne olsun.", positive
"4-5 yildir sorunsuz kitap satin aldigim site.ulkenin en dogusunda gorev yaptigim gunlerde bile maksimum 1 haftada elime geciyordu kitaplar.burdan yakinanlari gorunce sasiriyorum soyle bir baktim toplam 500 civari kitap satin almisim bu siteden hicbirinde sorun yasamadim sanirim beni sevdiklerinden ayricalik yapiyorlar.sadece ayrac konusunda daha yaratici olabileceklerini dusunuyorum.", positive
"ekonomik krizin yasandigi  herkesin her yerlerden kisinti yapmak durumunda kaldigi gunumuzde  kitap ve okumak konusunda sikinti cekmemeye kararli bunyelere ilac gibi gelmis dostane sitedir. efendim 4 farkli kitap siparis verdim ki birisi hali hazirda ellerinde yoktu gordugum kadariyla. toplamda d&rda 64 tlyecikan fiyat  bu sitesayesinde sadece41 tlye geldi.siparis verdiginizde ki ben gectigimiz ctesi gecesi 23.30 gibi verdim. islemler pazartesi sabah baslasa  elimde persembe oglen oldu. yani 3.5 is gununde adrese teslim. bence fena degil. peki bu 3.5 gun kitap okumadan mi gecirildi. hayir bunun da caresi  eski okuduklarimdan bir kisa hikayeler kitabini alip her gece iki hikaye okumaktan gecti. hem farkli bir bakis acisiyla yeniden okumus oldum hem de her gece cocuk gibi heyecanlanarak paketin gelmesini bekledim. uzun sozun kisasi  bir kitap ve okuma muptelasi olarak yillardir alistigim adresi degistirdim ve artik kitapcilardan secip  kitapyurdu.comdan alisveris yapacagim. musteri odakli ve kar yapacagiz derken su cikartmayan basarili bir alisveris sitesidir. yeni yila bomba kitaplarimi elime teslim etmis sitedir.", positive
"yuze yakin kitap siparis ettigim ve hicbirisinde problem cikmamis kitap sitesi.", positive
"su ana kadar bir cok kere sorunsuz alisveris yaptigim gayet uygun fiyatli cok zor bulunan kitaplari bile bulan guzel site.", positive
"zulfu livanelinin kitabinin yani sira nazan bekiroglunun la sonsuzluk hecesi ve iskender palanin askname adli kitaplarini da okuyucuya imzali olarak ulastiran site. ", positive
"inanilmaz ucuzlugu ile  her gecen gun gelisen teknoloji ve sanal dunyanin yayildigi su ortamda  yonumu sanallik & maskeli ve sahte insanlar & hayatin sacmaliklarindan cok  kitaplara donduren sitedir.giderler listemde  eskiden kozmetik-ivir zivir vs ilk sirayi alirkeninanilmaz ucuzlugu sayesinde kitaplarin ilk siraya gecmesinin ve bundan kendi kendime acayip gurur duymasebebimdir. misalsabahattin ali tum romanlari - yapi kredi yayinlarindan hemen her kitapcida 50 tlye iken kitapyurdu fiyati 37 kusur tldir. ah  daha onemli bir konuyu unutuyordum. gecenlerde uzun suredir haber bekledigim  satisa ciktiginda haberim olsun dedigim bir suru kitaplar icin bir sitem mesaji atmistim  iste bu kadar unlu bir yazarin kitaplarini bu kadar suredir kitapyurdunun hala temin etmemis olmasi uzucu seklinde. hemen geri donduler ve hangilerini istiyorsunuz sizin icin bulmaya calisalim dediler. ki  feci bir zaman sikintim vardi  kitaplari hediye goturecegim ve bugun mesajlasiyorsak yarin elimde olmasi lazim. boyle bir durumda  gun icinde birkac mesajlasma sonucu  piyasada hic bir kitabevinde de bulunmayan bir cok kitabi bulmus ve ayni gun kargoya verip zamaninda elime gecmesini saglamistir. calisanlarini hic tanimasam da  kitapyurdunu cok yakin dostum gibi hissediyorum. sanal dunyanin her yeri sardigi su donemde (en azindan benim acimdan) gercek dunyayi hissettirdikleri icin cok tesekkur ediyorum.", positive
"fiyat performansi olarak idefixden daha basarili oldugunu dusundugum alisveris sitesi. bir ornekle inceleyelim 3 adet kitap alinacaktir. kitapyurdu 27 41 ytl fiyat talep etmektedir. obur taraftan idefixe ise ayni kitaplara 30 20 ytl ucret talep etmektedir. ayrica idefixde bulabildiginiz her kitabi rahatlikla burda da bulabiliyorsunuz.", positive
"baskisi bittigi icin yayinevinde bile bulunmayan kitaplari bulup gonderen site.cuma ogleden sonra verilmis ve havalesi yapilmis bir siparisin temin suresini 5 gun olarak belirtmelerine ragmen sali gunu kitaplarin kargoya verildigine dair mesaj gondermislerdir. kargo da carsamba gunu yerine sagsalim  ve hattafazla iyi paketlenmisolarak  ulasmistir. kisiseldeneyimime gore bu idefixden hizli bir tedarik suresidir. idefixde satis disi olarak gozuken bircok kitap  kitapyurdunda mevcuttur. bu da insanin aklina idefixe otosansur uygulayip bazi urunlerin pazarlamasini yapmiyor mu sorusunu getirir. zira idefixe de listesinde gorunen tum urunleri fiziksel olarak elinde bulundurmaz  siparis uzerine aratir buldurur. ayrica baskisi tamamen tukenmis yayinlar satis disi degil tukendi olarak gosterilmektedir. baskisinin bittigi yayinevi tarafindan beyan edilen bir yayini baska bir online tedarikci birakin satis disini tukendi olarak bile gostermiyor ve 2 is gunu icerisinde temin edebiliyorsa idefixe in yaptigi her yerde bulunabilecek ortalama urunlerin pazarlamasi olmaktadir.  bir idefixe kolik olan kullanicinin sorgulamaya baslamasina neden olmustur.", positive
"icindeki sayfalari hatali basilmis olan bir kitabimi odemeli olarak geri alip  degistirip odemeli olarak bana geri yollayarak  esasinda kendilerine ait bir hata olmamasina ragmen sorumluluk gostererek  bunu da cok kisa bir zaman icinde yaparak takdirimi kazanmis firmanin sitesi.tasarimi kotudur  olabilir amacalisanlari gayetiyiymis bunu ogrendim.", positive
"4 subatta verdigim bayagi yuklu siparisimi bugun teslim etmis  alternatiflerine gore her zaman sahane olan fiyatlariyla her zaman gonlumde taht kurmus ailemizin kitapcisi. aslinda bu entrynin sebebi su dokuz adet kitap icin  her gonderisinde oldugu gibi cesitli modellerde ve sayilarda kitap ayraci da gondermisler. genelde ebrulimotifli  kendi logosu/yazisiolan ya da o kitabaait ozel ayraclar oluyordu bunlar. (buralar giris bolumuydu)(asil konu burasi:) bugunku ayraclar arasinda sabahattin alinin kucuk bir fotografi altinda biyografisinin oldugu ilk kez gordugum yeni nesil ayrac modeli de vardi. ve onu gorur gormez icimde bir seyler eridi  bir seyler ciz etti. kalbim bi tekledi sanki bir sure. diger yandan boyle sanki paha bicilemez bir hazineye sahip olmusum gibi sevinc de kapladi icimi. sabahattin aliye zaafim var benim:/ (ayni sekilde edip canseverin de ayraci vardi.) yazarlarin biyografilerinin bu sekilde ayraclarda kullanilmasi fikrini (bazi yayinevlerinin kendi kitaplari icin ozel olarak yaptiklari ayraclari kastetmiyorum) cok begendim. tanimadigimiz bilmedigimiz yazarlari tanimak icin sahane firsat. bundan sonraki tum siparislerimde ozellikle yazarlarin biyografilerinin oldugu bu ayraclardan reca ediyorum. tesekkurler sevgili kitapyurdu.", positive
"cesitli konulardaki on adet kitaptan olusan bir grup kitabin fiyati kitapyurdunda 107 ytl iken idefixete 149 ytlye karsilik gelmektedir. tabi ki 3-5 gun fazladan beklemek tercih edilerek  kitapyurdundan siparis verilir ve beklemeye baslanir.bu tur siteler arasinda kimi fiyat farklari olmasi dogal ama on kitapta neredeyse%40 oraninda fiyat farkini izah etmek kolay olmasagerek.", positive
"teslimata bes gun dedigi halde butun kitaplarin temin edilmesi iki gun  elime ulasmasi bir gun  yani toplamda uc gun surmesiyle takdirimi kazandi.", positive
